cui,name,entidad,departamento,provincia,distrito,MONTO_VIABLE,COSTO_ACTUALIZADO,DEFASE_MONTO,estado,avance_fisico_real_soles,avance_inversion_soles,desfase_avance_fis_fin,ejec_fis_program_inicio,ejec_fis_real_inicio,ejec_fis_program_final,ejec_fis_real_final,ano_ejecucion,ubigeo,latitud,longitud
2177933,"AMPLIACION Y MEJORAMIENTO DE LOS SERVICIOS DE AGUA POTABLE Y ALCANTARILLADO EN LOS CCPP LOS JUAREZ, LOS ESPINOS Y ZONAS ADYACENTES A LA VICTORIA - ICA - ICA - ICA",GOBIERNO REGIONAL ICA,ICA,ICA,ICA,1042592,2423347,132.43483548694024,ACTIVO,210734255.11999997,202809910.43,-3.269999999999996,,2022-09-07,,2023-02-03,2023,110101,-14.067930336160114,-75.748490122466151
2196794,"MEJORAMIENTO DEL SERVICIO EDUCATIVO DEL NIVEL INICIAL EN EL MARCO DE AMPLIACIÓN DE COBERTURA DEL PELA EN EBR- AMPLIACIÓN DE COBERTURA EN EL I.E.I N 316 NAZARIO PALOMINO DISTRITO DE SAN CLEMENTE, PROVINCIA DE PISCO, DEPARTAMENTO DE  ICA",GOBIERNO REGIONAL ICA,ICA,ICA,ICA,1475000,5068741,243.64345762711866,ACTIVO,265551340.99,280098627.65999997,2.8699999999999974,,2022-08-19,,2023-01-16,2023,110507,-13.672038297757341,-76.150315491907222
2233735,AFIANZAMIENTO  HIDRICO   DE LA CUENCA DEL  RIO  GRANDE - SANTA CRUZ -PALPA,PROYECTO ESPECIAL TAMBO CCARACOCHA,ICA,ICA,ICA,255373015,646013713,152.96866742165378,ACTIVO,5368373955.0300007,5135809018.35,-0.36000000000000032,,2023-04-01,,2025-03-30,2025,110404,-14.483300309999946,-75.245596559999967
2248424,"CREACION DEL PARQUE RECREATIVO MULTIUSO EN LA COOPERATIVA DE VIVIENDA LA NUEVA ESPERANZA Y ALREDEDORES -SAN JOAQUIN, DISTRITO DE ICA, PROVINCIA DE ICA - ICA",MUNICIPALIDAD PROVINCIAL DE ICA,ICA,ICA,ICA,871861,1500264,72.076053407595936,ACTIVO,150026400,150026400,0,,2022-09-19,,2023-02-06,2023,110101,-14.060698341663825,-75.745465374601636
2228738,CONTROL DE DESBORDES E INUNDACIONES EN EL RIO ICA Y QUEBRADA CANSAS/CHANCHAJALLA,PROYECTO ESPECIAL TAMBO CCARACOCHA,ICA,ICA,ICA,197486381,224846417,13.854138124086642,ACTIVO,12699325632.16,12571163174.47,-0.57000000000000028,,2019-12-02,,2024-04-09,2024,110109,-13.933304729999975,-75.670466039999951
2194295,"INSTALACION DE SERVICIOS DE PROTEC CION ANTE AVENIDAS EXTREMAS  EN EL RIO MATAGENTE SECTORES CHAMORRO MD, LAS HUACAS MD. SAN FRANCISCO MD, DIST. EL CARMEN Y RIO CHICO SECTOR CRUZ VERDE MI. DIST CHINCHA BAJA, PROV. CHINCHA-REGION ICA",PROYECTO ESPECIAL TAMBO CCARACOCHA,ICA,ICA,ICA,5890416,12467419,111.65600188509606,ACTIVO,857384404.63,826465205.51000011,-2.4799999999999898,,2023-03-28,,2023-09-24,2023,110204,-13.460250059999964,-76.162416119999989
2222635,"MEJORAMIENTO DE LA PRESTACION DE LOS SERVICIOS EDUCATIVOS DE LA I.E. RICARDO PALMA DEL CENTRO POBLADO LA CAPILLA, DISTRITO DE TATE - ICA - ICA",MUNICIPALIDAD DISTRITAL DE TATE,ICA,ICA,TATE,2616011,16561927,533.09852290376455,ACTIVO,1625718754.32,1617769029.3600001,-0.47999999999998977,,2022-03-01,,2023-01-19,2023,110113,-14.15220740999996,-75.706716599999936
2241937,"MEJORAMIENTO CREACION DE LOSA MULTIDEPORTIVA EN EL CERCADO DE PUEBLO NUEVO, DISTRITO DE PUEBLO NUEVO - ICA - ICA ",MUNICIPALIDAD DISTRITAL DE PUEBLO NUEVO-ICA,ICA,ICA,PUEBLO NUEVO,434678,935213,115.15075527171838,ACTIVO,93521300,93222031.84,-0.31999999999999318,2018-01-01,2023-01-07,2018-04-01,2023-04-06,2023,110107,-14.1276808,-75.7060547
2202579,"MEJORAMIENTO DE INFRAESTRUCTURA VIAL EN LAS CALLES 9, 10, 19, 24, 26, 30, 33 Y 35 DEL PROMUVI IV - NUEVO ILO PAMPA INALAMBRICA, DISTRITO ILO, PROVINCIA DE ILO - MOQUEGUA",MUNICIPALIDAD PROVINCIAL DE ILO,MOQUEGUA,ILO,ILO,2647119,6849643,158.758408669954,ACTIVO,684964300,648181717.08999991,-5.3700000000000045,,2022-08-18,,2023-09-21,2023,180301,-17.643919049999965,-71.342493839999975
2247785,"MEJORAMIENTO DE INFRAESTRUCTURA VIAL EN LAS CALLES 37, 40, 67, 70, 74, 76, 78, 80 Y LOS PASAJES 21, 22, 24, 35, 27, 28 EN EL ASENTAMIENTO HUMANO VISTA ALEGRE, PROMUVI VII, PAMPA INALÁMBRICA, DISTRITO ILO, PROVINCIA DE ILO - MOQUEGUA",MUNICIPALIDAD PROVINCIAL DE ILO,MOQUEGUA,ILO,ILO,2439249,5778234,136.88577918859451,ACTIVO,571005083.88,566035802.64,-0.85999999999999943,,2022-07-06,,2023-05-04,2023,180301,-17.64190105130168,-71.317210203676154
